四字熟語,読み,意味,漢検配当級
一夜検校,いちやけんぎょう,急に金持ちになることのたとえ。 「検校」は江戸時代、盲人に与えられた最高の官名。 大金を官に上納し、検校の位を受けたもののことをこう呼んだということから。,1級
一竜一猪,いちりょういっちょ,努力して学ぶ人と、怠けて学ばない人との間には大きな賢愚の差ができるということ。 「竜」は賢く、成功した者のたとえ。 「猪」は豚のことで、無恥な愚な人のたとえ。 一方は竜になり、一方は豚になるということから。,1級
一蓮托生,いちれんたくしょう,極楽浄土に往生して同じ蓮の花の上に生まれ変わるという意味の仏教語。 転じて、何があろうとも行動や運命を共にすること。 「一蓮託生」とも書く。,1級
一割之利,いっかつのり,凡人でも、たまには役に立つこと。 鉛でできた切れ味の悪い刀でも、一度はものを断ち切ることができることから。,1級
一竿風月,いっかんのふうげつ,俗世にとらわれず、自然の中でのんびりと自由な生活を送ること。 「竿」は釣竿のこと。 「風月」は自然を親しみ、風流を楽しむこと。 一本の釣竿を持って、風流を楽しむということから。,1級
一竿風月,いっかんふうげつ,俗世にとらわれず、自然の中でのんびりと自由な生活を送ること。 「竿」は釣竿のこと。 「風月」は自然を親しみ、風流を楽しむこと。 一本の釣竿を持って、風流を楽しむということから。,1級
一虚一盈,いっきょいちえい,"一定の形を保つことなく、常に変わり続けるために予測しがたいことのたとえ。 「一」は""あるときは""の意味。 「虚」はむなしいという意味。 「盈」は満ちるという意味。",1級
一琴一鶴,いっきんいっかく,清廉潔白な役人のこと。 または、旅支度がとても簡易であることのたとえ。 一張りの琴と一羽の鶴の意。 宋の役人が蜀に赴任する際、一張りの琴と一羽の鶴だけを携えて出ていったことから。,1級
一顧傾城,いっこけいせい,絶世の美女のこと。 「一顧」はちらりと一度振り返ること。 「傾城」は城が傾くこと。 美女が一度ちらりとみるだけで町中の男たちが夢中になり、君主までもがそれに溺れ政治を投げ出してしまうということから。,1級
一壺千金,いっこせんきん,価値がないと思えるものでも、時と場合によっては非常に役に立つこと。 「壺」はひょうたんのこと。 「千金」はきわめて大きな価値という意味。 普段は価値のないひょうたんも、溺れそうになったときには浮き袋の代わりとなり、はかれないほどの大きな価値になるということから。,1級
一弛一張,いっしいっちょう,"人に厳しくしたり、やさしく接したりすること。 「一…一… 」は""あるときは…し、あるときは…する""という意味。 「弛」は弦を弛めること。 「張」は弦を張ること。 弦を弛めたり張ったりするということから。",1級
一種一瓶,いっしゅいっぺい,簡素な宴会のこと。 各々が一種類の肴と一瓶の酒を持ち寄って行うということから。,1級
一生不犯,いっしょうふぼん,仏教での僧侶の戒律で、一生涯にわたって戒めを守り、男女の交わりをしないこと。 「不犯」は僧侶が戒律を守り、侵さないこと。,1級
一水盈盈,いっすいえいえい,愛する人に、言葉をかけることが出来ない苦しい思いのこと。 「一水」は一筋の川のこと。 「盈盈」は水が満ちている様子。 牽牛と織女の七夕伝説を題材に、一筋の天の河があることで、見つめるだけで会話することが出来ない切なさをうたった詩。,1級
一炊之夢,いっすいのゆめ,人の世界での繁栄は儚いということのたとえ。 または、人の人生が儚いことのたとえ。 「一炊」は一度飯を炊くこと。 唐の盧生という人が、旅の途中の邯鄲の町で、道士から出世が叶うという枕を借りて寝ると、出世して財力や権力を手に入れる夢を見た。 目が覚めると、宿の主人に頼んでいた、粟のかゆが出来上がっていないほどのわずかな時間しか過ぎていなかったという故事から。,1級
一世木鐸,いっせいのぼくたく,人々の指導者のこと。 「一世」はこの世にいる人たちのこと。 「木鐸」は木の振り子がついている大きな鈴のことで、古代中国では、法律や命令を人々に伝えるときに鳴らしていたということから、指導者のたとえ。,1級
一世之雄,いっせいのゆう,その時代で一番すぐれた英雄。 「一世」はその時代、当時という意味。,1級
一世木鐸,いっせいぼくたく,人々の指導者のこと。 「一世」はこの世にいる人たちのこと。 「木鐸」は木の振り子がついている大きな鈴のことで、古代中国では、法律や命令を人々に伝えるときに鳴らしていたということから、指導者のたとえ。,1級
一張一弛,いっちょういっし,"人に厳しくしたり、やさしく接したりすること。 「一…一… 」は""あるときは…し、あるときは…する""の意味。 「張」は弦をはること。 「弛」は弦をゆるめること。 弦を張ったり弛めたりすることから。",1級
一朝之患,いっちょうのうれい,少しの間、心配すること。 または、急に心配になること。 「一朝」はひと朝ということから、わずかな時間のたとえ。または、ある朝ということから、突然という意味。,1級
一飯之恩,いっぱんのおん,ほんのわずかな恩義のこと。 一度食事をご馳走になっただけの少しだけの恩義という意味で、そのような少しの恩義でも忘れてはいけないという戒めの言葉。,1級
一碧万頃,いっぺきばんけい,海や湖がどこまでも広がっている様子。 「一碧」は見える範囲の全てが青色一色に見えるということ。 「万頃」の「頃」は面積の単位で、「万頃」は非常に広いことのたとえ。,1級
乙夜之覧,いつやのらん,天子が読書すること。 書物を読むことの大切さをいう言葉。 「乙夜」は午後十時くらいの時間。 「覧」は読書のこと。 天子はとても忙しいため、夜遅くになってやっと読書する時間ができるという意味から。 「乙覧」と略して使うこともある言葉。,1級
移木之信,いぼくのしん,約束を必ず実行することのたとえ。 為政者は人民に法の権威や信用を示すべきという戒めのこと。 戦国時代、秦の商鞅が国民からの信用を得るために、南門の大木を北門に移した者に十金を与えると布告したが、皆疑い誰も移さなかった。 五十金に増額すると移す者が現れたので、五十金を渡して約束を本当に守ると示した故事から。,1級
衣履弊穿,いりへいせん,ひどく粗末な服装のこと。 「衣履」は服と靴のこと。 「弊穿」は破れたり、穴があくこと。 破れた服と穴の空いた靴という意味から。,1級
引縄批根,いんじょうへいこん,協力して他を全て排除すること。 または、裏切った相手に報復して恨みを晴らすこと。 「引縄」は縄をつけて引っ張ること。 「批根」は根本から全て取り除くこと。 中国の前漢の高官の灌夫と、その親友の魏其侯は、力を持っていたときに擦り寄ってきたが、力を失うといきなり裏切った者たちに報復したいと思ったという故事から。 「縄を引き根を批く」とも読む。,1級
允文允武,いんぶんいんぶ,学問と武芸のどちらもすぐれていること。 元は、学問と武芸のどちらにもすぐれている天子の徳を称えた言葉から。 「允に文、允に武」とも読む。,1級
烏合之衆,うごうのしゅう,からすの群れは無秩序でただ集まっているだけということから、規律も統制も何も無く寄せ集めの集団や軍隊のたとえ。,1級
有智高才,うちこうさい,もとは仏教語で、「智」は生まれた時からもっている聡明さ、「才」は学んで得たすぐれた才能のことで、聡明ですぐれた才能を持っていること。,1級
内股膏薬,うちまたこうやく,自分の意見を持たず、その時によって都合のいいほうについていくこと。または、そのような人のこと。 「膏薬」は練り薬のことで、内股に張ると歩くたびに、右足についたり、左足についたりすることから。,1級
烏鳥私情,うちょうのしじょう,親孝行して恩返しをしたい気持ちのことを謙遜していう言葉。 「烏鳥」はからすのこと。 「私情」は自分の気持ち。 からすは育ててもらった恩に親に口移しで餌を食べさせるということから。,1級
鬱鬱葱葱,うつうつそうそう,草木がこんもりと茂っている様子。 または、生気が満ちている様子のこと。 「鬱鬱」は木々が密集して生い茂っている様子や生気の満ちている様子。 「葱葱」は草木が青青と茂っている様子やめでたい気が満ちている様子。,1級
烏白馬角,うはくばかく,絶対にあるはずがないこと。 「烏白」は頭の色が白い烏、「馬角」は角の生えている馬のことで、そのような動物は存在しないということから。,1級
烏飛兎走,うひとそう,あっという間に月日が過ぎていくこと。 「烏」は日、「兎」は月のたとえであることから、「烏」と「兎」で月日のことを表している。 「飛」や「走」は経過が早いことを表している。 太陽には金烏、月には兎が住んでいるとされる中国の伝説からきた言葉。,1級
有耶無耶,うやむや,あるのかないのかよくわからないほど曖昧な様子。 「有りや無しや」という言葉を漢文調に有耶無耶と書いて、それを音読したという説が有力な語源である。,1級
雲霞之交,うんかのまじわり,一般的な関係を超越した交友関係のこと。 雲と霞がたなびいている場所という意味から、仙人などの俗世を超越したものが住むとされている場所のこと。 俗世を超越したもの同士の交友関係という意味から。,1級
雲蒸竜変,うんじょうりょうへん,英雄や豪傑などが良い時期に現れて活躍すること。 「雲蒸」は雲が沸き起こること。 「竜変」は竜が思うままに動きまわること。 舞い上がる竜は雲を沸き起こし、さらに勢いを増しながら自在に活躍するという意味から。,1級
雲中白鶴,うんちゅうのはっかく,世俗を超越した、心の清らかな人のたとえ。 白い雲の中にいる白い鶴のことで、心が清らかで、気高く立派な人物をたとえた言葉。,1級
雲濤煙浪,うんとうえんろう,遠く水平線で連なって見える雲と波。 「濤」と「浪」は大きな波。 「煙」は霞のこと。 海が大きく広いことを言い表す言葉。 「雲濤烟浪」とも書く。,1級
運否天賦,うんぷてんぷ,幸運と不運は天に決められているということ。 または、運を天の意志にまかせること。 「運否」は幸運と不運、「天賦」は天から授けられること。 人の力ではどうすることもできず、成り行きに任せるときなどに使われる言葉。,1級
雲竜井蛙,うんりょうせいあ,地位や知恵の差が非常に大きいこと。 大空を翔る竜と井戸の中にいる蛙という意味から。 竜は地位や知恵が高いことをたとえたもの、蛙は低いことをたとえたもの。,1級
盈盈一水,えいえいいっすい,愛する人に言葉をかけることが出来ない苦しい思いのこと。 「盈盈」は水が満ちている様子。 「一水」は一筋の川のこと。 牽牛と織女の七夕伝説を題材に、一筋の天の河で隔てられているために、見つめるだけで会話することが出来ない切なさをうたった詩。 「盈盈たる一水」とも読む。,1級
永劫回帰,えいごうかいき,「永劫」は終わりがない長い時間、「回帰」は同じところに帰ってくるという意味。 宇宙の全ての事象は永遠と同じものが同じことを繰り返しているということ。 この世は永遠に循環運動を行っていて、来世や前世というものは考えず、今の人生を繰り返していてもその生を肯定して、一瞬を大切にして生きるべきであるということ。 ドイツの哲学者ニーチェの根本思想であり、生への絶対的肯定。,1級
詠雪之才,えいせつのさい,文才がある女性のこと。 晋の王凝之の妻の謝道蘊が、降る雪を白い綿毛がある種子の柳絮にたとえた詩を詠み、文才をたたえられた故事から。,1級
栄耀栄華,えいようえいが,富や権力を得て栄え、贅沢を極めること。 または、家が富や権力で繁栄すること。 「栄耀」は栄えて輝くという意味。 「栄華」は華やかに繁栄するという意味。 似ている語を重ねて強調した語。,1級
益者三楽,えきしゃさんごう,「礼儀と音楽をほどよく楽しむこと」「人の美点について褒めること」「立派な友人が多いこと」の三つの有益な楽しみのこと。 孔子の言葉。,1級
鴛鴦之契,えんおうのちぎり,夫婦の絆が非常に堅いこと。 または、いつまでも夫婦として仲良く暮らすという夫婦の約束のこと。 「鴛鴦」は雄と雌のおしどりのことで、雌雄が常に一緒にいる鳥ということから、夫婦の仲がよいことのたとえ。,1級
燕雁代飛,えんがんだいひ,入れ違いになること。 または、互いに隔てられていることのたとえ。 燕が南から渡ってくる季節には、雁は北へ渡り、雁が北から渡ってくる季節には、燕は南に渡るために出会うことはないということから。 「燕雁代わって飛ぶ」とも読む。,1級
掩耳盗鐘,えんじとうしょう,浅はかな考えで、自分で自分を欺くことのたとえ。 または、自分の良心を騙して、そのことを考えないようにしながら悪事を働くこと。 または、隠していた悪事がいつのまにか知れ渡ること。 「掩耳」は耳をふさぐこと。 男が大きな鐘を盗んだが、重くて持って帰ることができず、割って小さくして持って帰ろうと槌で打つと大きな音がして、他人に気付かれることを恐れた男は慌てて自分の耳を塞いだという故事から。 「耳を掩いて鐘を盗む」とも読む。,1級
宛転蛾眉,えんてんがび,美しい容姿を言い表す言葉。 「宛転」は三日月の形をした美しい眉。 「蛾眉」は蛾の触角のように細く長い眉。 唐の美女の楊貴妃をたとえた言葉。,1級
円融三諦,えんにゅうさんだい,仏教の言葉で、空、仮、中の三つの真理がそれぞれの立場を保ちながらも、互いに溶け合っている状態が同時に成り立っていること。 「円融」はお互いに融合しているが、それぞれ立場を保ちつつ妨げになっていないこと。 「三諦」は空、仮、中の三つの真理のこと。 天台宗が説く三つの真理のことで、全てのものには実体が存在しないという「空」と、全てのものは因縁によって存在するという「仮」と、それら二つを超越して存在しているという「中」のことをいう。,1級
鳶飛魚躍,えんぴぎょやく,全ての生き物が生まれた時から持っている性質に従って、その性質を楽しみながら自由に生きること。 または、そのような天の摂理のこと。 または、よい政治が行われ、世の中が平和なことのたとえ。 「鳶飛び魚躍る」を略した言葉で、鳥の鳶が自由に空を飛びまわり、川の淵で魚が躍るという意味から。,1級
円木警枕,えんぼくけいちん,苦労しながらも力を尽くして勉学に励むこと。 「円木」は丸太。 「警枕」は深く寝入ることを防ぐための枕。 枕を転がりやすい丸太にすることで、深く眠り込むと目が覚めるようにして、寝る間を惜しんで勉学に励むという意味から。 中国の宋の司馬光が丸太を枕にして勉学に励んだという故事から。,1級
鳶目兎耳,えんもくとじ,情報を集める能力の高い人のこと。 鳶のように遠くのものまで見分けることのできる目と、小さな音を聞き分けることのできる兎のような耳という意味から。,1級
横説竪説,おうせつじゅせつ,縦横自在にいろいろな観点から弁舌をふるうこと。 「竪」は縦という意味。,1級
横草之功,おうそうのこう,とても簡単なこと、または少しの功績や功労のたとえ。 「横草」は草を踏んで横に倒すという意味。,1級
椀飯振舞,おうばんぶるまい,盛大なごちそうのことや物を与えたりご馳走したりすること。 「椀飯」は椀に盛った飯、またはそれを出してもてなすことで、 江戸時代には正月に親戚などを招待して、酒宴をすることなどをいった。,1級
屋烏之愛,おくうのあい,溺愛、盲愛のたとえ。 「屋烏」は屋根にとまっている烏のこと。 その人を愛するあまり、その人に関わるもの全て、その人の家の屋根にとまっている烏さえも愛おしくなること。,1級
屋梁落月,おくりょうらくげつ,友人を思う切ない心情のこと。 「屋梁」は屋根を支えるはり、または、屋根のこと。 「落月」は沈んでいく月のこと。 中国の詩人杜甫が江南に流された友人の李白を思い、「家の屋根に落ちかかる月に君の面影を見た」と詩を詠じたことから。,1級
温柔敦厚,おんじゅうとんこう,優しく穏やかで、思いやりがあること。 「温柔」は優しく穏やかなこと。 「敦厚」は情に厚いこと。 孔子が儒教の古典『詩経』を評した言葉で、詩は昔の人々の純朴な民情で満ちており、人に感動を与え教化する力を持っていると説いたもの。,1級
遠塵離垢,おんじんりく,けがれから遠ざかり、煩悩から離れること。 「塵」は塵、「垢」は垢のことから転じて、けがれと煩悩を意味する。 仏教語。 「遠塵離苦」とも書く。,1級
乳母日傘,おんばひがさ,子供が豊かな環境で大切に育てられること。 または、必要以上に保護された環境で育てられること。 「乳母」は母親の代わりに乳を与えて子育てをする人のこと。 「日傘」は日光を遮るための傘のこと。 乳母に抱かれたり、日傘をさしかけられたりして、大切に育てられるという意味から。,1級
温文爾雅,おんぶんじが,心がおだやかで、態度や言動が礼儀にかなっていること。 「温文」は温和で礼儀にかなっていること。 「爾雅」は言葉や文章などが美しいこと。,1級
会稽之恥,かいけいのはじ,戦いに敗れ受けた恥辱。または、人から受けた忘れることが出来ない屈辱。 「会稽」は中国の山の名前で、春秋時代の呉と越の戦場跡。,1級
改弦易轍,かいげんえきてつ,法律や制度を変えること。 「改弦」は弦楽器の弦を張りかえて調子を改めること。 「易轍」は車輪の軸幅を変えること。 「弦を改め轍を易う」とも読む。 「改絃易轍」とも書く。,1級
回光返照,かいこうへんしょう,自分本来の姿を振り返り、反省して修行すること。または、日が沈む前に夕日の照り返しで一瞬明るくなるということから、死の間際に息を吹き返すこと。 「回光」と「返照」はどちらも夕日の照り返しや、日の光の反射という意味から。 「回光」は「えこう」とも、「返照」は「へんじょう」とも読む。 「回光」は「廻光」とも、「返照」は「反照」とも書く。,1級
廻天之力,かいてんのちから,世の中の情勢が全て変わるほどの大きな力のこと。 または、不利な情勢を一気に有利に変えることの出来る大きな力のこと。 「廻天」は天を回すという意味から、世の中の情勢が変わること。 「回天之力」とも書く。,1級
開門揖盗,かいもんゆうとう,自分自身で原因を作って、災いを招き入れること。 「揖盗」は泥棒を会釈して招き入れること。 自宅の門を自ら開けて、会釈して泥棒を招き入れるという意味から。 「門を開いて盗に揖す」とも読む。,1級
魁塁之士,かいるいのし,立派な体格をした人のこと。 「魁塁」は他よりすぐれてたくましいこと。,1級
河漢之言,かかんのげん,特に意味のない話。 または、現実離れしているほら話のこと。 「河漢」は天の川のこと。 天の川の多くのように、次々と限りなく言葉が続くという意味から。,1級
花街柳巷,かがいりゅうこう,色町のこと。 「花街」は花が咲いている町、「柳巷」は柳の木が多くある街路のことで、遊郭には柳の木が多く植えられていたことと、花の美しさを女性にたとえたといわれている。,1級
下学之功,かがくのこう,始めに簡単で身近にあることを学び、少しずつ難しいことを学んでいくこと。 または、簡単なことから初めて、次第に上手くなっていくこと。 「下学」はごく普通にある簡単なことを学ぶこと。 「下学して上達す」とも読む。,1級
赫赫明明,かくかくめいめい,はっきりとしていて、非常に明るく光り輝く様子。 「赫赫」は非常に明るく輝く様子。 「明明」ははっきりとしている様子。,1級
革故鼎新,かくこていしん,古い習慣や制度などを新しいものに改正すること。 「革故」と「鼎新」はどちらも新しいものにするという意味。 「故きを革め新しきを鼎る」とも読む。,1級
鶴寿千歳,かくじゅせんざい,長く生きること。 鶴は千年生きることができるといわれているということから。,1級
廓然大公,かくぜんたいこう,不満や疑念などなく、さっぱりとしていて、心に偏りがないこと。 聖人の心構えを学ぶための心構えをいう言葉。 「廓然」は心が広く、わだかまりのないこと。 「大公」は私心がなく、公平なこと。 「廓然太公」とも書く。,1級
廓然大悟,かくねんたいご,不満や疑念などのわだかまりがなく、真理を悟ること。 「廓然」は心が広く、何のわだかまりもないこと。 「大悟」は真理を悟ること。,1級
鶴鳴之士,かくめいのし,才能や能力があっても、世のために使われることなく、世間から認められていない賢者のこと。 または、公職についていない賢者のこと。 「鶴鳴」は鶴の鳴き声のこと。 山奥に隠遁している賢者をたとえた言葉で、山の中から鶴の美しい鳴き声は聞こえるが、姿を見ることは出来ないという意味から。,1級
鶴翼之囲,かくよくのかこみ,軍隊の陣形の一つで、左右に長く広がった陣形のこと。 鶴が翼を広げたような形に見えるということから。,1級
嘉言善行,かげんぜんこう,戒めとなる素晴らしい言葉と立派な行いのこと。 「嘉言」は素晴らしい言葉。 「善行」は立派なよい行い。,1級
夏侯拾芥,かこうしゅうかい,学問を修めることは大切なことであるということ。 「夏侯」は中国の漢の儒学者の夏侯勝のこと。 「拾芥」は地面に落ちているごみを拾うという意味から、簡単に手に入るということのたとえ。 夏侯勝は講義を行うたびに、学問をしっかりと修めてさえいれば、官職を得ることは道のごみを拾うくらいに簡単なことだと言い聞かせていたという故事から。 「夏侯芥を拾う」とも読む。,1級
河山帯礪,かざんたいれい,永久に変わらない固い誓いのたとえ。 または、国が栄え続けることのたとえ。 「河」は黄河のこと。「山」は泰山のこと。 「帯」はおびのこと。「礪」は砥石のこと。 広い黄河が帯のように細くなるようなことがあったとしても、高い泰山がすりへって砥石のように平たくなるようなことがあったとしても、永久に変わることはないという意味から。,1級
和氏之璧,かしのへき,世に二つとない、極めて珍しい宝物のこと。 「和氏」は楚の卞和という人物のこと。 「璧」は宝玉のこと。 卞和が山中で宝玉の原石を見つけ、レイ王に献上したが、ただの石だと言われ罰として左足を切られた。 のちに武王に献上したが、同じくただの石だと言われ罰として右足を切られた。 のちに、卞和の話を聞いた文王がその原石を磨かせたところ、正真正銘の宝玉であったという故事から。,1級
華燭之典,かしょくのてん,結婚式のこと。 「華燭」はきらびやかで美しい灯りということから、結婚式の灯りのこと。 「典」は儀式のこと。,1級
禾黍油油,かしょゆうゆう,植物の稲や黍が勢いよく成長している様子。 「禾」は稲のこと。 「油油」は植物などにつやがあって勢いがよい様子。,1級
嘉辰令月,かしんれいげつ,めでたい月日のこと。 「嘉辰」はめでたい日。 「令月」はめでたい月。,1級
加持祈祷,かじきとう,病気や災難から身を守るためや、願いを叶えるために神や仏に祈ること。 「加持」は仏の加護を祈る、密教の法。 「祈祷」は神や仏に祈ること。,1級
確乎不抜,かっこふばつ,意志がしっかりとしているため、何があっても動揺したり、平静さを失ったりしないこと。 「確乎」はしっかりと定まっていること。 「不抜」は固くて抜くことができないという意味から、しっかりとしていて動かない、動揺しないこと。 「確固不抜」とも書く。,1級
活剥生呑,かっぱくせいどん,人が作った詩や文章を盗んで、そのまま使うこと。 または、他人から聞いた考えや意見を理解せずにそのまま受け入れて、自分の考えや意見であるかのように言うこと。 「活剥」は生きているまま皮を剥ぐこと。 「生呑」は生きているまま丸ごと飲み込むこと。,1級
活溌溌地,かつはつはつち,元気で活気のある様子。 「溌溌」は水の上に魚が跳ねること。,1級
過庭之訓,かていのおしえ,家庭での教育のこと。 父親からの教えという意味から。 「過庭」は庭を横切ること。 孔子は、自分の息子の鯉が庭を横切るときに呼び止めて、詩や礼を学ぶことの大切さを諭し、鯉もそれによく従ったという故事から。 「庭訓」と略すこともあり、「過庭之教」とも書く。,1級
瓜田李下,かでんりか,人から疑われるようなことはしないほうが良いというたとえ。 「瓜田」は瓜の畑のこと。 「李下」は李の木の下のこと。 瓜の畑で靴を履きなおそうとしたり、李の木の下で冠を直そうと手を上げたりすると、それらを盗むのではないかと疑われてしまうという意味から。,1級
河図洛書,かとらくしょ,非常に珍しく、価値のある書物のこと。 「河図」は易経の八卦の元になったとされる図で、中国の伏羲の世に、黄河から現われた竜馬の背中の渦巻いた毛を写したとされている。 「洛書」は『書経』「洪範伝」の元になったとされる文で、夏の禹王の時代に、洛水という川の洪水治めた後に現われたとされる、神亀の背中に書かれていた文字を書き写したとされている。,1級
瓜剖豆分,かぼうとうぶん,一つの国が小さく分裂すること。 瓜や豆を割るように小さくわかれるという意味から。,1級
烏之雌雄,からすのしゆう,是非や善悪が区別しにくく、判断しにくいこと。 烏は雄も雌も色が黒くて判別しにくいという意味から。,1級
河梁之吟,かりょうのぎん,親しい友人を見送るときの離れたくないという気持ち。 「河梁」は川を渡るための橋。 中国の漢の時代、異民族の匈奴に捕まった李陵が、一緒に捕まっていた蘇武が国に戻る時に送った詩から。,1級
迦陵頻伽,かりょうびんが,美しい声のたとえ。 または、美しい声を持っているもののたとえ。 仏教の言葉で、梵語でカラヴィンカという想像上の鳥の名前を音訳したもの。 上半身は美しい女性、下半身が鳥の姿をしていて、美しい声で鳴くとされ、その声は仏の声のたとえとして使われる。,1級
閑雲野鶴,かんうんやかく,世間を離れのんびりと自由に暮らすこと。 または、のんびりとした生活を送る隠士の心境のたとえ。 「閑雲」はのんびりと空に浮かぶ雲。 「野鶴」は野で自由に遊ぶ鶴のこと。,1級
韓海蘇潮,かんかいそちょう,中国の唐の詩人の韓愈と北宋の詩人の蘇軾の文体のこと。 韓愈が書いた文章は海のように広々としていて、蘇軾の書いた文章は、海水の満ち引きのように力強い起伏があるという二人の文体を批評した言葉から。,1級
寒巌枯木,かんがんこぼく,世俗を超えた悟りの境地のこと。 または、冷淡で付き合いにくい態度のこと。 「巌」は岩のこと。 枯れた木と冷たい岩のことで、禅宗で情念や煩悩を捨て去った悟りの境地をいう。,1級
歓欣鼓舞,かんきんこぶ,思いっきり喜ぶこと。 「鼓舞」は鼓を打ち鳴らして踊ること。,1級
